top,bottom,shoes,occasion,weather_condition,temp_c,mood,score,label
T-Shirt,Skirt,Sandals,Wedding,Snow,20.7,Bold,0.15,0
Sweater,Jeans,Casual Shoes,Casual,Sunny,15.6,Relaxed,0.65,1
Dress,Jeans,Boots,Date,Cloudy,13.0,Bold,0.95,1
Jacket,Jeans,Sports Shoes,Casual,Rainy,33.9,Relaxed,0.85,1
T-Shirt,Skirt,Sandals,Date,Clear,6.9,Relaxed,0.45,0
Sweater,Pants,Sports Shoes,Party,Clear,12.3,Romantic,0.45,0
Jacket,Pants,Sports Shoes,Party,Snow,26.3,Romantic,0.7,1
Hoodie,Skirt,Sports Shoes,Party,Rainy,37.6,Romantic,0.55,1
Blouse,Shorts,Sports Shoes,Wedding,Cloudy,11.0,Happy,0.0,0
Sweater,Skirt,Boots,Office,Clear,31.4,Professional,0.7,1
Sweater,Shorts,Heels,Casual,Rainy,11.2,Romantic,0.65,1
Blouse,Skirt,Sports Shoes,Office,Sunny,30.2,Romantic,0.75,1
Shirt,Pants,Casual Shoes,Casual,Clear,23.4,Happy,0.7,1
Shirt,Shorts,Casual Shoes,Date,Sunny,32.3,Romantic,0.9,1
Sweater,Skirt,Boots,Wedding,Sunny,22.0,Professional,0.7,1
Dress,Shorts,Heels,Office,Cloudy,35.7,Professional,0.5,0
Sweater,Jeans,Sports Shoes,Date,Clear,26.4,Bold,0.35,0
Shirt,Skirt,Sports Shoes,Wedding,Cloudy,29.1,Professional,0.65,1
Dress,Shorts,Sports Shoes,Casual,Snow,32.9,Professional,0.55,1
Shirt,Pants,Casual Shoes,Office,Clear,38.0,Bold,0.95,1
Dress,Jeans,Casual Shoes,Date,Snow,18.3,Professional,0.7,1
Shirt,Jeans,Boots,Party,Cloudy,7.7,Professional,0.55,1
Coat,Skirt,Sandals,Casual,Snow,28.9,Relaxed,0.65,1
Coat,Skirt,Boots,Wedding,Sunny,16.8,Happy,0.7,1
Blouse,Pants,Heels,Casual,Rainy,9.1,Professional,0.4,0
Dress,Skirt,Sports Shoes,Wedding,Clear,32.8,Bold,0.35,0
Blouse,Shorts,Boots,Wedding,Snow,15.4,Bold,0.55,1
Hoodie,Shorts,Boots,Date,Sunny,12.0,Relaxed,0.5,0
T-Shirt,Pants,Heels,Party,Snow,24.8,Professional,0.7,1
Jacket,Jeans,Boots,Party,Cloudy,10.9,Happy,0.95,1
Blouse,Skirt,Boots,Wedding,Rainy,14.4,Relaxed,1.0,1
Coat,Pants,Heels,Wedding,Cloudy,11.3,Bold,1.0,1
Blouse,Skirt,Sports Shoes,Party,Sunny,34.5,Professional,0.4,0
Blouse,Pants,Heels,Casual,Snow,20.3,Relaxed,0.65,1
Blouse,Skirt,Boots,Party,Sunny,9.1,Professional,0.55,1
Dress,Skirt,Sports Shoes,Party,Cloudy,32.6,Romantic,0.7,1
Dress,Pants,Sandals,Wedding,Clear,30.5,Happy,0.8,1
Shirt,Shorts,Casual Shoes,Casual,Cloudy,15.9,Romantic,0.75,1
Blouse,Pants,Sports Shoes,Wedding,Clear,34.7,Professional,0.65,1
Sweater,Shorts,Sports Shoes,Party,Clear,24.1,Relaxed,0.3,0
Blouse,Shorts,Sports Shoes,Wedding,Cloudy,31.2,Relaxed,0.1,0
Jacket,Shorts,Heels,Office,Snow,20.9,Professional,0.4,0
